penyebut,pembilang,penyebut m(x),pembilang m(x),tau(x),sigma(x),maks orbit(penyebut),maks orbit(pembilang),banyaknya n,banyaknya kenaikan,mutlak selisih maksimum(penyebut),mutlak selisih maksimum(pembilang),klasifikasi
47070,24103,2615,2621,75,52,10460,20069,36,60,10460,9869,1
48394,24781,24197,24253,75,52,96788,185707,36,60,96788,91323,1
47066,24101,23533,23588,75,52,94132,180617,36,60,94132,88821,1
48390,24779,8065,8084,75,52,32260,61901,36,60,32260,30441,1
47058,24097,7843,7862,75,52,2852,5473,36,60,31372,29607,1
5,3,5,12,35,23,80,437,16,26,80,207,1
127734269,76640563,4087496608,9835253879,1179,106,2043748304,11163841821,588,1005,157211408,406773155,1
125680399,75408241,4021772768,9677516663,1179,105,2010886384,10984333583,588,1005,154683568,400232369,1
11787333,7072400,3017557248,7267399415,1179,90,188597328,1030196243,588,1005,188597328,487977121,1
11567183,6940310,2961198848,7132139255,1179,89,8046736,43954571,588,1005,185074928,478862911,1
8839913,5303948,2263017728,5456504567,1179,78,141438608,772591735,588,1005,2111024,5461999,1
8650843,5190506,2214615808,5340339959,1179,77,138413488,756067017,588,1005,138413488,358126435,1
267809891,160685941,2142479128,5167211927,1179,294,4284958256,23406051315,588,1005,4284958256,11086738601,1
266750581,160050355,2134004648,5146873175,1179,293,4268009296,23313467621,588,1005,4268009296,11042883167,1
264880601,158928367,2119044808,5110969559,1179,374,4238089616,23150031369,588,1005,4238089616,10965465995,1
264101011,158460613,2112808088,5096001431,1179,373,4225616176,23081895203,588,1005,4225616176,10933190969,1
127786333,76671803,2044581328,4932257207,1179,106,2044581328,11168258925,588,1005,2044581328,5290058743,1
7889383,4733630,2019682048,4872498935,1179,74,126230128,689515413,588,1005,126230128,326601991,1
125732463,75439481,2011719408,4853388599,1179,105,2011719408,10988750687,588,1005,2011719408,5205028525,1
7710673,4626404,1973932288,4762699511,1179,73,123370768,673896159,588,1005,123370768,319203397,1
121761083,73056653,1948177328,4700887607,1179,298,1948177328,10641652075,588,1005,1948177328,5040613393,1
121323373,72794027,8704816,21004841,1179,297,1941173968,10603396221,588,1005,1941173968,5022492199,1
28769397,17261639,1841241408,4444241399,1179,212,460310352,2514378653,588,1005,460310352,1190979175,1
14308941,8585365,1831544448,4420968695,1179,211,228943056,1250568121,588,1005,228943056,592353227,1
911150369,546690247,1822300738,4398783791,1179,496,14578405904,79632409617,588,1005,14578405904,37719261731,1
909469459,545681701,1818938918,4390715423,1179,495,14551511344,79485498083,588,1005,14551511344,37649672057,1
27997577,16798547,1791844928,4325689847,1179,278,447961232,2446921585,588,1005,447961232,1159025827,1
6990653,4194392,1789607168,4320319223,1179,70,111850448,610966411,588,1005,111850448,289394569,1
55789249,33473551,1785255968,4309876343,1179,277,892627984,4875847073,588,1005,892627984,2309527187,1
6822303,4093382,1746509568,4216884983,1179,69,109156848,596252621,588,1005,109156848,282424879,1
27013377,16208027,1728856128,4174516727,1179,166,432214032,2360902505,588,1005,432214032,1118279947,1
